"subjects"	"cluster.id"
"157"	"subject157"	3
"158"	"subject158"	5
"159"	"subject159"	3
"160"	"subject160"	1
"161"	"subject161"	2
"162"	"subject162"	1
"163"	"subject163"	5
"164"	"subject164"	5
"165"	"subject165"	2
"166"	"subject166"	3
"167"	"subject167"	2
"168"	"subject168"	1
"169"	"subject169"	5
"170"	"subject170"	4
"171"	"subject171"	3
"172"	"subject172"	5
"173"	"subject173"	2
"174"	"subject174"	3
"175"	"subject175"	4
"176"	"subject176"	3
"177"	"subject177"	1
"178"	"subject178"	3
"179"	"subject179"	2
"180"	"subject180"	5
"181"	"subject181"	2
"182"	"subject182"	3
"183"	"subject183"	1
"184"	"subject184"	2
"185"	"subject185"	5
"186"	"subject186"	3
"187"	"subject187"	1
"188"	"subject188"	1
"189"	"subject189"	4
"190"	"subject190"	4
"191"	"subject191"	4
"192"	"subject192"	4
"193"	"subject193"	2
"194"	"subject194"	5
"195"	"subject195"	3
"196"	"subject196"	3
"197"	"subject197"	4
"198"	"subject198"	4
"199"	"subject199"	1
"200"	"subject200"	4
"201"	"subject201"	3
"202"	"subject202"	1
"203"	"subject203"	5
"204"	"subject204"	1
"205"	"subject205"	4
"206"	"subject206"	1
"207"	"subject207"	1
"208"	"subject208"	5
"209"	"subject209"	1
"210"	"subject210"	2
"211"	"subject211"	5
"212"	"subject212"	4
"213"	"subject213"	5
"214"	"subject214"	1
"215"	"subject215"	5
"216"	"subject216"	5
"217"	"subject217"	4
"218"	"subject218"	2
"219"	"subject219"	4
"220"	"subject220"	2
"221"	"subject221"	3
"222"	"subject222"	4
"223"	"subject223"	5
"224"	"subject224"	3
"225"	"subject225"	2
"226"	"subject226"	3
"227"	"subject227"	1
"228"	"subject228"	3
"229"	"subject229"	3
"230"	"subject230"	4
"231"	"subject231"	2
"232"	"subject232"	3
"233"	"subject233"	5
"234"	"subject234"	4
"235"	"subject235"	4
"236"	"subject236"	2
"237"	"subject237"	4
"238"	"subject238"	2
"239"	"subject239"	3
"240"	"subject240"	3
"241"	"subject241"	5
"242"	"subject242"	1
"243"	"subject243"	1
"244"	"subject244"	2
"245"	"subject245"	3
"246"	"subject246"	4
"247"	"subject247"	4
"248"	"subject248"	1
"249"	"subject249"	1
"250"	"subject250"	5
"251"	"subject251"	3
"252"	"subject252"	1
"253"	"subject253"	5
"254"	"subject254"	3
"255"	"subject255"	2
"256"	"subject256"	2
"257"	"subject257"	4
"258"	"subject258"	5
"259"	"subject259"	1
"260"	"subject260"	1
"261"	"subject261"	2
"262"	"subject262"	1
"263"	"subject263"	2
"264"	"subject264"	4
"265"	"subject265"	4
"266"	"subject266"	3
"267"	"subject267"	4
"268"	"subject268"	1
"269"	"subject269"	4
"270"	"subject270"	3
"271"	"subject271"	3
"272"	"subject272"	5
"273"	"subject273"	2
"274"	"subject274"	3
"275"	"subject275"	3
"276"	"subject276"	3
"277"	"subject277"	1
"278"	"subject278"	1
"279"	"subject279"	2
"280"	"subject280"	2
"281"	"subject281"	4
"282"	"subject282"	2
"283"	"subject283"	2
"284"	"subject284"	4
"285"	"subject285"	1
"286"	"subject286"	1
"287"	"subject287"	3
"288"	"subject288"	1
"289"	"subject289"	1
"290"	"subject290"	2
"291"	"subject291"	2
"292"	"subject292"	4
"293"	"subject293"	3
"294"	"subject294"	2
"295"	"subject295"	2
"296"	"subject296"	3
"297"	"subject297"	1
"298"	"subject298"	2
"299"	"subject299"	4
"300"	"subject300"	5
"301"	"subject301"	1
"302"	"subject302"	5
"303"	"subject303"	1
"304"	"subject304"	3
"305"	"subject305"	5
"306"	"subject306"	1
"307"	"subject307"	1
"308"	"subject308"	3
"309"	"subject309"	2
"310"	"subject310"	4
"311"	"subject311"	2
"312"	"subject312"	2
"313"	"subject313"	2
"314"	"subject314"	1
"315"	"subject315"	1
"316"	"subject316"	1
"317"	"subject317"	4
"318"	"subject318"	1
"319"	"subject319"	1
"320"	"subject320"	1
"321"	"subject321"	2
"322"	"subject322"	1
"323"	"subject323"	5
"324"	"subject324"	4
"325"	"subject325"	3
"326"	"subject326"	3
"327"	"subject327"	4
"328"	"subject328"	3
"329"	"subject329"	3
"330"	"subject330"	5
"331"	"subject331"	2
"332"	"subject332"	4
"333"	"subject333"	2
"334"	"subject334"	3
"335"	"subject335"	2
"336"	"subject336"	5
"337"	"subject337"	3
"338"	"subject338"	2
"339"	"subject339"	1
"340"	"subject340"	2
"341"	"subject341"	2
"342"	"subject342"	5
"343"	"subject343"	5
"344"	"subject344"	1
"345"	"subject345"	5
"346"	"subject346"	2
"347"	"subject347"	1
"348"	"subject348"	5
"349"	"subject349"	2
"350"	"subject350"	3
"351"	"subject351"	1
"352"	"subject352"	3
"353"	"subject353"	4
"354"	"subject354"	4
"355"	"subject355"	2
"356"	"subject356"	1
"357"	"subject357"	3
"358"	"subject358"	2
"359"	"subject359"	1
"360"	"subject360"	4
"361"	"subject361"	5
"362"	"subject362"	3
"363"	"subject363"	1
"364"	"subject364"	1
"365"	"subject365"	4
"366"	"subject366"	1
"367"	"subject367"	1
"368"	"subject368"	1
"369"	"subject369"	5
"370"	"subject370"	5
"371"	"subject371"	4
"372"	"subject372"	5
"373"	"subject373"	1
"374"	"subject374"	4
"375"	"subject375"	4
"376"	"subject376"	4
"377"	"subject377"	1
"378"	"subject378"	2
"379"	"subject379"	4
"380"	"subject380"	3
"381"	"subject381"	1
"382"	"subject382"	2
"383"	"subject383"	2
"384"	"subject384"	1
"385"	"subject385"	5
"386"	"subject386"	3
"387"	"subject387"	5
"388"	"subject388"	1
"389"	"subject389"	3
"390"	"subject390"	4
"391"	"subject391"	2
"392"	"subject392"	1
"393"	"subject393"	4
"394"	"subject394"	4
"395"	"subject395"	4
"396"	"subject396"	5
"397"	"subject397"	3
"398"	"subject398"	4
"399"	"subject399"	4
"400"	"subject400"	1
"401"	"subject401"	4
"402"	"subject402"	5
"403"	"subject403"	1
"404"	"subject404"	1
"405"	"subject405"	3
"406"	"subject406"	2
"407"	"subject407"	2
"408"	"subject408"	4
"409"	"subject409"	4
"410"	"subject410"	3
"411"	"subject411"	3
"412"	"subject412"	2
"413"	"subject413"	1
"414"	"subject414"	1
"415"	"subject415"	4
"416"	"subject416"	2
"417"	"subject417"	3
"418"	"subject418"	2
"419"	"subject419"	3
"420"	"subject420"	4
"421"	"subject421"	2
"422"	"subject422"	4
"423"	"subject423"	3
"424"	"subject424"	5
"425"	"subject425"	3
"426"	"subject426"	3
"427"	"subject427"	1
"428"	"subject428"	1
"429"	"subject429"	5
"430"	"subject430"	5
"431"	"subject431"	1
"432"	"subject432"	4
"433"	"subject433"	1
"434"	"subject434"	4
"435"	"subject435"	4
"436"	"subject436"	1
"437"	"subject437"	2
"438"	"subject438"	2
"439"	"subject439"	5
"440"	"subject440"	1
"441"	"subject441"	2
"442"	"subject442"	1
"443"	"subject443"	4
"444"	"subject444"	2
"445"	"subject445"	2
"446"	"subject446"	3
"447"	"subject447"	5
"448"	"subject448"	4
"449"	"subject449"	1
"450"	"subject450"	1
"451"	"subject451"	2
"452"	"subject452"	2
"453"	"subject453"	2
"454"	"subject454"	2
"455"	"subject455"	4
"456"	"subject456"	2
"457"	"subject457"	4
"458"	"subject458"	3
"459"	"subject459"	4
"460"	"subject460"	3
"461"	"subject461"	3
"462"	"subject462"	1
"463"	"subject463"	4
"464"	"subject464"	3
"465"	"subject465"	3
"466"	"subject466"	3
"467"	"subject467"	1
"468"	"subject468"	5
"469"	"subject469"	1
"470"	"subject470"	3
"471"	"subject471"	1
"472"	"subject472"	3
"473"	"subject473"	1
"474"	"subject474"	5
"475"	"subject475"	2
"476"	"subject476"	4
"477"	"subject477"	5
"478"	"subject478"	2
"479"	"subject479"	2
"480"	"subject480"	2
"481"	"subject481"	3
"482"	"subject482"	1
"483"	"subject483"	4
"484"	"subject484"	1
"485"	"subject485"	1
"486"	"subject486"	3
"487"	"subject487"	5
"488"	"subject488"	5
"489"	"subject489"	3
"490"	"subject490"	1
"491"	"subject491"	1
"492"	"subject492"	4
"493"	"subject493"	2
"494"	"subject494"	4
"495"	"subject495"	4
"496"	"subject496"	2
"497"	"subject497"	2
"498"	"subject498"	3
"499"	"subject499"	2
"500"	"subject500"	4
